iter	M_lnV_dist(1)	M_lnk_e(1)	V_lnV_dist(1)	V_lnk_e(1)	Ve_lnC_rest(1)	lnV_dist(1.1)	lnk_e(1.1)	lnV_dist(1.1.1)	lnk_e(1.1.1)	lnV_dist(1.2)	lnk_e(1.2)	lnV_dist(1.2.1)	lnk_e(1.2.1)	LnPrior	LnData	LnPosterior
0	-0.463916	-1.24616	0.0774363	0.0872239	0.0686621	-1.03107	-1.04701	-0.924478	-0.957185	-0.293345	-1.6202	-0.304043	-1.79228	5.928098e+00	-6.505833e+03	-6.499905e+03
10	-0.733816	-1.79144	0.181696	0.111555	0.214648	-1.34195	-1.34183	-1.93381	-1.42364	-0.40126	-2.10898	-0.648417	-2.09997	1.798082e+00	-2.087354e+03	-2.085555e+03
20	-0.776414	-1.69795	0.508659	0.0743783	0.29407	-1.00724	-1.84091	-1.2351	-1.5556	-0.581524	-1.75811	-1.42764	-1.52273	1.869950e-01	-1.527951e+03	-1.527764e+03
30	-0.658904	-1.54769	0.3132	0.197169	0.414579	-1.35787	-2.38612	-0.945994	-1.94432	-1.51832	-1.67269	-1.35849	-1.65351	-3.041806e+00	-1.089553e+03	-1.092595e+03
40	-1.18131	-1.87435	0.102762	0.184423	0.465143	-0.999724	-2.36488	-1.02	-2.505	-1.46174	-1.55483	-1.42118	-1.84549	1.496764e-02	-9.735219e+02	-9.735070e+02
50	-0.649751	-2.1467	0.719297	0.130408	0.48263	-1.4249	-2.16421	-1.37065	-2.03972	-1.23802	-2.47638	-1.0577	-2.42599	-2.027631e+00	-9.390823e+02	-9.411099e+02
60	-0.440743	-2.38332	0.701946	0.130408	0.48555	-0.750317	-2.29232	-0.554879	-2.7236	-0.900217	-2.37347	-0.339696	-2.21555	-2.309931e+00	-9.335733e+02	-9.358832e+02
70	-0.455207	-1.8493	0.485489	0.119045	0.498899	-1.53022	-1.94623	-1.8049	-2.63905	-0.224409	-2.20952	-1.2995	-2.50507	-3.452040e+00	-9.092203e+02	-9.126723e+02
80	-0.703428	-2.41599	0.170845	0.348184	0.498899	-0.935539	-1.48656	-1.68437	-1.8728	-1.57599	-2.18496	-1.4081	-2.48731	-5.770262e+00	-9.092203e+02	-9.149905e+02
90	-0.501275	-2.13276	0.115626	0.253932	0.498899	-0.701472	-2.7122	-0.765516	-2.88382	-0.919515	-2.89482	-0.748784	-2.31179	5.000132e-01	-9.092203e+02	-9.087203e+02
100	-0.273162	-1.9402	0.124565	0.140416	0.498899	-0.286337	-2.10063	-0.64079	-1.79856	-0.149248	-1.27847	-0.315305	-2.18745	9.220467e-01	-9.092203e+02	-9.082982e+02
110	-0.178477	-1.3311	0.122325	0.0386638	0.498899	-0.470083	-1.80286	-0.0936365	-1.79969	-0.370092	-1.0207	-0.532639	-1.31328	4.401478e-01	-9.092203e+02	-9.087801e+02
120	-0.39424	-1.53702	0.0972203	0.206825	0.498899	-0.0975054	-1.98666	-0.128735	-2.27334	-0.182072	-1.3584	-0.179894	-1.27804	4.599330e+00	-9.092203e+02	-9.046209e+02
130	-0.405803	-1.55673	0.123225	0.110015	0.498899	-0.470098	-1.53977	-0.531114	-0.995641	-0.9022	-1.33668	-1.21368	-0.783662	2.182330e+00	-9.092203e+02	-9.070380e+02
140	-0.506503	-1.53179	0.144768	0.122156	0.498899	-0.977382	-1.55736	-0.928689	-1.23632	-0.305887	-1.6067	-1.75157	-1.2006	-3.328818e+00	-9.092203e+02	-9.125491e+02
150	-0.307717	-1.27884	0.166438	0.122156	0.498899	-0.91009	-0.752166	-0.820139	-0.600651	-1.05807	-1.72061	-0.848947	-1.09663	-1.477797e+00	-9.092203e+02	-9.106981e+02
160	-0.432675	-1.91095	0.0702779	0.838545	0.49909	-0.420319	-0.949108	-0.326948	-0.799343	-0.689771	-1.77171	-1.17764	-2.41448	-3.452753e+00	-9.088821e+02	-9.123348e+02
170	-0.24396	-1.97879	0.149845	0.158207	0.498819	-0.436795	-1.76693	-0.162035	-1.52921	-0.121827	-2.18333	-0.373546	-1.82358	4.027146e+00	-9.093634e+02	-9.053363e+02
180	-0.498257	-1.46989	0.35558	0.328244	0.498819	-0.52187	-0.603176	-0.833953	-0.372531	-0.785637	-1.83293	-0.734525	-2.87848	-3.993166e+00	-9.093634e+02	-9.133566e+02
190	-0.524155	-1.27292	0.19959	0.0882185	0.498819	-0.425555	-0.711022	-0.0977394	-1.19923	-0.658342	-1.35387	-0.803543	-1.02737	1.154535e+00	-9.093634e+02	-9.082089e+02
200	-0.580111	-0.796487	0.0784075	0.296835	0.499916	-0.115903	-0.894318	-0.194627	-1.21489	-0.33817	-1.52061	-0.471975	-1.80755	-3.021725e-01	-9.074196e+02	-9.077218e+02
210	-0.202793	-1.76508	0.085502	0.729083	0.499916	-0.365437	-1.7747	-0.69274	-1.17934	-0.119186	-2.85892	-0.423756	-2.44034	-1.300690e+00	-9.074196e+02	-9.087203e+02
220	-0.713318	-1.74454	0.124882	0.126755	0.499916	-0.323519	-1.5572	-0.819984	-1.38368	-1.15512	-2.16165	-1.19139	-2.62445	1.506494e+00	-9.074196e+02	-9.059131e+02
230	-0.538759	-2.41555	0.226992	0.143257	0.499916	-0.891029	-1.96037	-0.286645	-1.74091	-0.230113	-2.42342	-1.23963	-2.58357	-1.473933e+00	-9.074196e+02	-9.088936e+02
